    E(eV)    dE(eV)  Phi(deg)    dPhi      Theta    dTheta   Log10(FDV)
				(deg)      (deg)    (deg)     FDV in s^3/km^3/cm^3
  33.3877   10.4940  295.1250   22.5000  -11.2500   22.5000  -11.2950
  33.3877   10.4940  272.6250   22.5000  -11.2500   22.5000  -11.1766
  33.3877   10.4940  295.1250   22.5000  -33.7500   22.5000  -11.2500
  33.3877   10.4940  272.6250   22.5000  -33.7500   22.5000  -11.1396
  33.3877   10.4940  317.6250   22.5000  -11.2500   22.5000  -11.4058
  33.3877   10.4940  340.1250   22.5000  -11.2500   22.5000  -11.4803
  33.3877   10.4940  317.6250   22.5000  -33.7500   22.5000  -11.3450
  33.3877   10.4940  340.1250   22.5000  -33.7500   22.5000  -11.4015
  33.3877   10.4940  283.8750   45.0000  -56.2500   22.5000  -11.1259
  33.3877   10.4940  328.8750   45.0000  -56.2500   22.5000  -11.2317
  33.3877   10.4940  306.3750   90.0000  -78.7500   22.5000  -11.0759
  33.3877   10.4940  295.1250   22.5000   11.2500   22.5000  -11.3198
  33.3877   10.4940  272.6250   22.5000   11.2500   22.5000  -11.1858
  33.3877   10.4940  295.1250   22.5000   33.7500   22.5000  -11.2758
  33.3877   10.4940  272.6250   22.5000   33.7500   22.5000  -11.1613
  33.3877   10.4940  317.6250   22.5000   11.2500   22.5000  -11.4476
  33.3877   10.4940  340.1250   22.5000   11.2500   22.5000  -11.5061
  33.3877   10.4940  317.6250   22.5000   33.7500   22.5000  -11.3917
  33.3877   10.4940  340.1250   22.5000   33.7500   22.5000  -11.4452
  33.3877   10.4940  283.8750   45.0000   56.2500   22.5000  -11.1638
  33.3877   10.4940  328.8750   45.0000   56.2500   22.5000  -11.2867
  33.3877   10.4940  306.3750   90.0000   78.7500   22.5000  -11.1391
  45.5823   14.6004  115.8750   22.5000  -11.2500   22.5000  -11.3137
  45.5823   14.6004   93.3750   22.5000  -11.2500   22.5000  -11.5198
  45.5823   14.6004  115.8750   22.5000  -33.7500   22.5000  -11.3303
  45.5823   14.6004   93.3750   22.5000  -33.7500   22.5000  -11.4998
